gene_id,control_1,control_2,control_3,treated_1,treated_2,treated_3
GENE_001,120,115,125,520,495,510
GENE_002,400,380,410,50,45,55
GENE_003,15,18,16,16,17,15
GENE_004,800,820,790,810,805,795
GENE_005,60,65,58,250,260,240
GENE_006,1200,1180,1220,150,140,160
GENE_007,85,90,88,90,87,86
GENE_008,10,12,11,85,90,88
GENE_009,450,470,440,460,455,445
GENE_010,30,28,32,200,195,210
GENE_011,70,75,72,68,70,74
GENE_012,180,175,185,182,178,180
GENE_013,95,90,100,20,18,22
GENE_014,350,340,360,355,348,352
GENE_015,50,55,52,500,480,510
GENE_016,280,290,275,285,278,282
GENE_017,14,16,15,80,85,82
GENE_018,650,670,640,60,55,65
GENE_019,25,27,24,26,28,25
GENE_020,90,95,92,93,91,95
