cell_id,mean_red_intensity,std_deviation_intensity,cell_area,eccentricity,label
CELL_001,135.5,45.2,5010,0.12,Parasitized
CELL_002,110.2,15.8,4850,0.08,Uninfected
CELL_003,142.1,50.1,5200,0.15,Parasitized
CELL_004,108.5,14.1,4900,0.09,Uninfected
CELL_005,138.8,42.6,5050,0.11,Parasitized
CELL_006,112.4,16.2,4780,0.07,Uninfected
CELL_007,145.0,52.3,5310,0.14,Parasitized
CELL_008,109.1,13.9,4920,0.10,Uninfected
CELL_009,139.9,47.8,5120,0.13,Parasitized
CELL_010,111.0,15.0,4800,0.08,Uninfected
CELL_011,141.2,49.5,5020,0.12,Parasitized
CELL_012,113.1,16.8,4820,0.06,Uninfected
CELL_013,140.5,46.0,5180,0.15,Parasitized
CELL_014,107.8,14.5,4750,0.09,Uninfected
CELL_015,144.3,51.0,5220,0.13,Parasitized
CELL_016,110.5,15.2,4880,0.07,Uninfected
CELL_017,137.2,43.5,4980,0.11,Parasitized
CELL_018,108.9,13.2,4840,0.08,Uninfected
CELL_019,143.6,48.9,5090,0.12,Parasitized
CELL_020,112.0,15.9,4810,0.09,Uninfected
CELL_021,110.1,14.8,4790,0.08,Uninfected
CELL_022,111.5,15.5,4830,0.07,Uninfected
CELL_023,109.4,14.0,4800,0.09,Uninfected
CELL_024,140.1,47.0,5100,0.12,Parasitized
CELL_025,138.0,44.5,5050,0.11,Parasitized
