MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseValue
8.3252,41.0,6.9841,1.0238,322.0,2.5555,37.88,-122.23,4.526
3.7119,52.0,6.2818,1.0818,485.0,2.1182,37.85,-122.25,2.7
1.8009,52.0,4.0493,1.0493,425.0,2.3928,37.85,-122.26,0.95
2.0804,52.0,4.7972,1.0028,396.0,2.4461,37.85,-122.26,1.05
3.12,52.0,5.088,1.0773,465.0,2.1377,37.85,-122.25,1.15
7.2574,52.0,8.2877,1.0730,558.0,2.5479,37.85,-122.25,3.525
3.2705,52.0,4.7705,1.0245,458.0,2.1818,37.84,-122.25,1.034
5.6431,52.0,6.1012,1.0506,532.0,2.1067,37.84,-122.25,2.414
3.875,52.0,5.6174,1.0434,514.0,2.1304,37.84,-122.25,1.587
3.2375,52.0,4.7303,1.0640,432.0,2.1286,37.84,-122.25,1.369
6.0125,52.0,6.2153,1.0456,488.0,2.1283,37.85,-122.26,2.2
5.8115,52.0,6.0142,1.0515,468.0,2.1031,37.85,-122.26,2.05
6.1255,52.0,6.3101,1.0401,501.0,2.1415,37.85,-122.26,2.35
7.0012,52.0,7.1021,1.0512,580.0,2.2012,37.85,-122.26,3.102
4.1205,52.0,5.1012,1.0489,451.0,2.1154,37.84,-122.25,1.75
3.9102,52.0,4.9812,1.0501,432.0,2.1091,37.84,-122.25,1.602
8.1022,45.0,6.8512,1.0315,340.0,2.4512,37.88,-122.23,4.2
3.9512,52.0,6.1051,1.0701,475.0,2.1012,37.85,-122.25,2.5
2.1012,52.0,4.1215,1.0512,410.0,2.3012,37.85,-122.26,1.05
2.3015,52.0,4.8512,1.0125,380.0,2.3512,37.85,-122.26,1.2
