date,close_price
2026-06-01,150.25
2026-06-02,151.10
2026-06-03,149.80
2026-06-04,152.05
2026-06-05,153.12
2026-06-08,154.50
2026-06-09,153.90
2026-06-10,155.10
2026-06-11,156.30
2026-06-12,155.80
2026-06-15,157.00
2026-06-16,158.20
2026-06-17,157.90
2026-06-18,159.10
2026-06-19,160.50
2026-06-22,161.20
2026-06-23,159.80
2026-06-24,162.00
2026-06-25,163.50
2026-06-26,162.80
2026-06-29,164.20
2026-06-30,165.10
2026-07-01,164.90
2026-07-02,166.30
2026-07-03,167.20
2026-07-06,168.50
2026-07-07,167.90
2026-07-08,169.10
2026-07-09,170.50
2026-07-10,171.20
