pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,label
0,0,5,13,9,1,0,0,0,0,13,15,10,15,5,0,0,3,15,2,0,11,8,0,0,4,12,0,0,8,8,0,0,5,8,0,0,9,8,0,0,4,11,0,1,12,7,0,0,2,14,5,10,12,0,0,0,0,6,13,10,0,0,0,0
0,0,0,12,13,5,0,0,0,0,0,11,16,9,0,0,0,0,3,15,16,6,0,0,0,7,15,16,16,2,0,0,0,0,1,16,16,3,0,0,0,0,1,16,16,6,0,0,0,0,1,16,16,6,0,0,0,0,0,11,16,10,0,0,1
0,0,0,4,15,12,0,0,0,0,3,16,15,14,0,0,0,0,8,13,8,16,0,0,0,0,1,6,15,11,0,0,0,0,0,2,16,8,0,0,0,0,0,8,16,3,0,0,0,0,0,12,14,0,0,0,0,0,0,3,15,13,0,0,0
0,0,7,15,13,1,0,0,0,8,13,16,15,11,0,0,0,8,9,11,15,8,0,0,0,0,0,2,12,12,0,0,0,0,0,0,2,15,9,0,0,0,0,0,5,16,6,0,0,0,9,5,16,12,0,0,0,0,7,13,13,9,0,0,0
0,0,1,8,15,10,0,0,0,3,13,15,14,13,0,0,0,8,10,0,9,11,0,0,0,5,12,4,13,7,0,0,0,0,15,16,16,2,0,0,0,0,3,15,16,6,0,0,0,0,0,16,16,2,0,0,0,0,0,11,15,7,0,0,1
0,0,2,12,12,13,11,0,0,0,4,10,8,16,12,0,0,0,0,0,6,16,6,0,0,0,0,11,16,10,0,0,0,0,3,16,16,6,0,0,0,0,1,16,16,6,0,0,0,0,0,16,16,3,0,0,0,0,2,12,12,13,11,0,1
0,0,5,12,13,16,2,0,0,0,11,16,15,12,8,0,0,3,15,8,0,11,8,0,0,4,12,0,0,8,8,0,0,5,8,0,0,9,8,0,0,4,11,0,1,12,7,0,0,2,14,5,10,12,0,0,0,0,6,12,13,16,2,0,0
0,0,0,10,14,4,0,0,0,0,0,12,16,7,0,0,0,0,2,14,16,5,0,0,0,6,16,16,16,2,0,0,0,0,2,16,16,3,0,0,0,0,2,16,16,5,0,0,0,0,2,16,16,5,0,0,0,0,0,10,14,4,0,0,1
0,0,0,5,16,10,0,0,0,0,2,16,16,12,0,0,0,0,6,14,8,15,0,0,0,0,0,4,15,10,0,0,0,0,0,2,16,8,0,0,0,0,0,6,16,3,0,0,0,0,0,11,15,0,0,0,0,0,0,4,15,12,0,0,0
0,0,1,10,16,12,0,0,0,2,14,16,14,14,0,0,0,7,12,2,8,10,0,0,0,6,11,3,12,6,0,0,0,0,14,16,16,2,0,0,0,0,2,14,16,5,0,0,0,0,0,14,16,1,0,0,0,0,1,10,16,12,0,0,1
